"Country","Date","Policy Category","Policy Type","Policy Value","Policy Value Description","Policy Value Description KFF","Income","Region"
"Angola",2020-11-23,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","African Region"
"Congo (Brazzaville)",2020-11-23,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Lower middle income","African Region"
"Congo (Brazzaville)",2020-11-23,"Closure Policies","International travel controls",2,"Quarantine arrivals","Partial restriction","Lower middle income","African Region"
"Bahrain",2020-11-24,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income","Eastern Mediterranean Region"
"Bhutan",2020-11-24,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","South-East Asia Region"
"Cameroon",2020-11-24,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Lower middle income","African Region"
"Cameroon",2020-11-24,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Lower middle income","African Region"
"Cameroon",2020-11-24,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","African Region"
"Guinea",2020-11-24,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Low income","African Region"
"Japan",2020-11-24,"Health Policies","Facial Coverings",1,"Recommended facial covering","Recommended/Partial requirement","High income","Western Pacific Region"
"Sweden",2020-11-24,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Andorra",2020-11-25,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","High income","European Region"
"United Arab Emirates",2020-11-25,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","High income","Eastern Mediterranean Region"
"Iran",2020-11-25,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Eastern Mediterranean Region"
"Iran",2020-11-25,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Upper middle income","Eastern Mediterranean Region"
"Paraguay",2020-11-27,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","Region of the Americas"
"Georgia",2020-11-28,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","European Region"
"Solomon Islands",2020-11-29,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Lower middle income","Western Pacific Region"
"Finland",2020-11-30,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"Finland",2020-11-30,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Cambodia",2020-11-30,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","Western Pacific Region"
"Moldova",2020-11-30,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","European Region"
"Aruba",2020-12-01,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","High income",NA
"Belgium",2020-12-01,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","High income","European Region"
"Burkina Faso",2020-12-01,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","Low income","African Region"
"Bolivia",2020-12-01,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","Lower middle income","Region of the Americas"
"Croatia",2020-12-01,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","European Region"
"Luxembourg",2020-12-01,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","European Region"
"Papua New Guinea",2020-12-01,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","Western Pacific Region"
"Finland",2020-12-03,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","High income","European Region"
"Botswana",2020-12-07,"Closure Policies","Workplace closing",1,"Recommended closing","Partial closing","Upper middle income","African Region"
"Central African Republic",2020-12-07,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Low income","African Region"
"Finland",2020-12-07,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","High income","European Region"
"Malaysia",2020-12-07,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","Upper middle income","Western Pacific Region"
"Turkey",2020-12-07,"Closure Policies","School closing",2,"Required closing on some levels","Partial closing","Upper middle income","European Region"
"Bosnia and Herzegovina",2020-12-08,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Upper middle income","European Region"
"Bolivia",2020-12-08,"Health Policies","Facial Coverings",4,"Required facial covering outside the home at all times","Required to wear a facial covering at all times outside the home","Lower middle income","Region of the Americas"
"Sudan",2020-12-08,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Low income","Eastern Mediterranean Region"
"Senegal",2020-12-08,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","African Region"
"Senegal",2020-12-08,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","African Region"
"Trinidad and Tobago",2020-12-08,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","Region of the Americas"
"Congo (Kinshasa)",2020-12-09,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Low income","African Region"
"Denmark",2020-12-09,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Saudi Arabia",2020-12-09,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","Eastern Mediterranean Region"
"Mali",2020-12-10,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Low income","African Region"
"Mozambique",2020-12-12,"Closure Policies","International travel controls",1,"Screening arrivals","Partial restriction","Low income","African Region"
"Cape Verde",2020-12-14,"Closure Policies","Workplace closing",2,"Required closing for some sectors","Partial closing","Lower middle income","African Region"
"Cape Verde",2020-12-14,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Lower middle income","African Region"
"Cote d'Ivoire",2020-12-15,"Closure Policies","School closing",0,"No measures","No restriction","Lower middle income","African Region"
